id,titulo,preco,preco_original,desconto,vendedor,reputacao_vendedor,condicao,frete_gratis,link,imagem_url,localizacao,vendas,media_avaliacoes,total_avaliacoes,entrega,marca,data_coleta,nome_produto_detalhado,condicao_produto_detalhada,descricao_produto,preco_detalhado,desconto_detalhado,frete_gratis_detalhado,tempo_entrega,nome_loja,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,caracteristicas_principais,fotos_produto,avaliacao,outros_dados,timestamp_extracao_detalhada,tem_dados_detalhados,total_reviews,rating_medio,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,cobertura_texto_reviews,tamanho_medio_review,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,metodo_coleta_reviews,qualidade_extracao_detalhada,metodo_extracao_detalhada,score_qualidade_detalhes,tamanho_resposta_bytes,status_resposta_http
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"R$ 63,90",N/A,,N/A,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=2f2ed705-22ce-45f2-840f-c0d9194bde68&wid=MLB3713375243&sid=search,N/A (imagens desabilitadas),,,4.8,7399,Frete grátis,N/A,2025-09-26T22:16:27.603190,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rendimentos 120 páginas,BRL 64.21,Sem desconto,Não,Consultar no site,MegaByteMagazine,,100000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_886903-MLA87439311815_072025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.8, Count: 7399, Reviews: 7399",seller_id: 167787623; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 5; brand: HP; sku: MLB37141763; product_id: MLB37141763,2025-09-26T22:16:21.270475,True,7399,4.8,0,0,0,0,0,True,1256,38,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,680196,200
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,"R$ 65,73",R$ 78,,Eshop,,,True,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=2f2ed705-22ce-45f2-840f-c0d9194bde68&wid=MLB4198173329&sid=search,N/A (imagens desabilitadas),,,4.7,4928,Frete grátis,N/A,2025-09-26T22:16:27.603190,Cartucho de tinta preta HP Advantage 664 de 2 ml,Novo,Cartucho de tinta preta de 2 mL. | Rendimento aproximado de 100 páginas. | Não é recarregável.,BRL 65.73,Sem desconto,Não,Consultar no site,Eshop,,100000,Sim,Sim,30 dias,,"https://http2.mlstatic.com/D_NQ_NP_901486-MLA82666700555_022025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rating: 4.7, Count: 4928, Reviews: 4928",seller_id: 1737442603; reputation_level: 5_green; power_seller_status: platinum; shipping_mode: me2; review_rate: 4; brand: HP; sku: MLB36751629; product_id: MLB36751629,2025-09-26T22:16:24.659297,True,4928,4.7,0,0,0,0,0,True,857,41,0,0,0,0,0,extracao_detalhada,excelente,spider_scrapy,100.0,691530,200
