title,link,price,seller,condition,site_code,pagina,lote
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=XPS46zCbN5diY%2BLhtHymdiTkXzP%2BH%2FWqq6TGyOil9wWj3qbhfoWEgPcrqzA6ZIx77JhJpvaZFaUQCnw6K%2Fd2FLt6Wck6Z7XElW3olaBaQBiDd65itPYOyZDLeGfo1huClx9gTINiX9BEjRR7oBEvmD28AuxJPfNScN%2FSxt2gT586XdNsAx%2FB7%2F7ceK2p32UN5tQlvY0TvBxiM%2FmW0aLPx666olHWqdL4sKaLdtMpARP6Z1H4vAj8e9uohtyfswUUBaSRVD586QrbB%2BPEu7emmlc8U5qY9mZEQ%2BKZs7%2F14n%2BERRW%2BsmPnKFgN4CmKelbRyFBw816V3VNMAmSVNi5EnbYSgLM0hlnyujar48rwTTjUmjA98GFrGlyxcCD%2FqXUW8Kc2iHacuVvhaajrIO3%2FC8MT346DklLAGfCyExRzH%2BEHpDf4xIaZUdjMGyJw2%2BchnRYrvD%2FyQ%2BtH2C%2BFblhC1%2BHOcuGZylz5cJOMF%2BgHobJsISxyN8d%2BFMcUDnVrI%2F0bIRGWs6%2Fpk9JXn7rEdv5hrI9lPCem32KVFr1cS0chQqK2%2FwzmieQ7BhMNBEigvKnyQro78gcj%2B7b2W4ONpkZ1NoU37yxA6a057R8ApmYwbIuWYMP0GC%2B6Rq2w6BuuANfzWo4NNO6pXIZPPsSJXjd2vHDl0f4h6Nke3%2FLSKA%2BQdWjJ3sr3N3MdZMRqnVsljqRy5tVUw8Gkh6mftJg8BTPaCFJJzXq7FBwpbYJKHZAx5fzFnKntuIA37GW2ulP3S4Ewlc4dh%2FsDqhXGSOzNnB9Obo%2B9WLnoNah1BMZG5bTUtTkDcSkEC4NfV1ZI26dNEWZ1gefTX76jiPFyhVOfuXvF941HHdXa29%2FYr3IYt5ZT%2FK8xg%2BLE0H86BNw%3D&searchVariation=184022220277#polycard_client=search-nordic&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$5,20",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=IaQMVYycr6pB0c0Qkxl%2B6RYQuOiLiYBFytkpGOQ1G4pt9mj7NQWOM0j9Faya5THq9KunheTKgeXNWbgnwL0N5rfUcsm0GDoCdP0irdIzpmzJdEyr6XI7OLaEK0Fm3tZojmCGu9AXzfRj1d5Q6BWlDUMjNEu2hKA7gMh1rrjtxSlqxHLpaPsS%2FMgCwjv%2FnXgx%2FsraBatfUHqXskMP8EyK51RJ3NyiOAkUpJAdCuaE%2Bqou0zEHnK16IsUBnvi27eqDyn8QBj7H94uHPbvBGXGKwTU3etPYpy5nC5DU832rBFjz6ok2ZZ4RJvpAGehA1dwL1%2FOOD5ksT3MTQcQwn3QqkY9r7dZcrnPeFUUqXJsWrdqp%2BMk9Ufds9%2BKAn81KywLRFVQnfhl9ZZTSNYS8pqV%2FFcNhdW1tjYlFto9tXrM2qlWk88grHmcv679geN9Cny1ItUos0CwMxeW8keVJzfUpmLJDNDdPp6tK%2BH7pVxpjgP2%2B4JqlP9H%2B9%2BTkknaIjxRAp16IhKTAEg9Hyrnu3KewWAJgjWr3jUJ3TXLmY8jVBizF5sLMiGYX6o%2FZypVVDC7aPEtv8THtwxEyFgEEZhuLqLnBVzglLvGPR%2FrGEcwzMld09XNM5Rj8%2Fgo101H00bGbfCV9A7mRyh89TfvEaa96%2BHbdnZo5w4aAyKXjm3%2BprZh1f0T2BfWte1jC8fWJee%2Bh68ne0qMa6bYb9E0LL6s7Tn8d9zo7pI%2FnhVh2D3bPvPXpPQ4jcTaPlhcsJLbwSw8wJC%2BgTLbjen9SpIqzSXuH60VtBjHYs8rpJKWQi0Luvu8DhrT6qeut8yp%2BlmtYCC2INM6QY%2F8J3TjCszJE6q7A3L3FP%2F4KHT1hBijb%2FgBEHEuK8Us3vVJ8nXw%3D&searchVariation=187062495333#polycard_client=search-nordic&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$4,79",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://produto.mercadolivre.com.br/MLB-5370242846-garrafa-termica-signos-500ml-signo-de-aries-_JM?searchVariation=187754236569#polycard_client=search-nordic&searchVariation=187754236569&position=33&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$16,66",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://produto.mercadolivre.com.br/MLB-4025922645-garrafinha-termica-squeeze-800ml-quente-frio-com-isolamento-_JM?searchVariation=187460348197#polycard_client=search-nordic&searchVariation=187460348197&position=34&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$6,85",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://produto.mercadolivre.com.br/MLB-5358285704-garrafa-termica-pacco-hydra-v2-650ml-personalizaco-gratis-_JM?searchVariation=187578896237#polycard_client=search-nordic&searchVariation=187578896237&position=35&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 6x R$44,10 sem juros",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://produto.mercadolivre.com.br/MLB-4967167410-garrafa-termica-1-litro-com-termmetro-led-para-chas-cafe-_JM?searchVariation=184022220277#polycard_client=search-nordic&searchVariation=184022220277&position=36&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$5,20",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://www.mercadolivre.com.br/botijo-galo-termico-12-litros-garrafo-c-torneira-pe-alca-cor-azul/p/MLB22804328?searchVariation=MLB22804328#polycard_client=search-nordic&searchVariation=MLB22804328&wid=MLB5289051526&position=4&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 6x R$38,17 sem juros",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://produto.mercadolivre.com.br/MLB-3988369437-garrafa-termica-generica-1l-com-termmetro-e-led-cafecha-_JM?searchVariation=187062495333#polycard_client=search-nordic&searchVariation=187062495333&position=37&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,"em 12x R$4,79",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://www.mercadolivre.com.br/garrafa-termica-de-presso-18-litro-inox-lumina-termolar/p/MLB9989930#polycard_client=search-nordic&searchVariation=MLB9989930&wid=MLB4289839406&position=5&search_layout=grid&type=product&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91&sid=search,"em 12x R$10,70",Vendedor não especificado,Não especificado,MLB,1,1
Título não encontrado,https://produto.mercadolivre.com.br/MLB-5351405250-garrafa-termica-squeeze-inox-800ml-com-alca-agua-academia-_JM?searchVariation=187545793425#polycard_client=search-nordic&searchVariation=187545793425&position=38&search_layout=grid&type=item&tracking_id=bfaa6532-b87f-4223-9609-f3411463ae91,Preço não encontrado,Vendedor não especificado,Não especificado,MLB,1,1
