id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,main_characteristics,other_characteristics,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,comentarios_reviews,total_comentarios,comentarios_positivos,comentarios_negativos,comentarios_com_imagens,comentario_mais_curtido,comentario_mais_recente,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http,total_reviews_individual,total_reviews_original,tipo_linha
MLB48152766,Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color Full,https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color-full/p/MLB48152766#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB5370579290&sid=search,BRL 309.43,N/A,Sem desconto,Park Ecom,1301646661,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8 mL. | Cor da tinta: Preto e Color. | Unidades por kit: 2. | Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 480 páginas.,,"Marca: HP; Linha: DeskJet; Modelo: 667 XL 2376 667XL 2776 2774; Modelo alfanumérico: 3YM81AB, 3YM80AL; Tipo de cartucho: Original; Conteúdo total em volume: 8 mL; Cor da tinta: Preto e Color; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Sim",Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Sim,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_789780-MLA83447264888_042025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB48152766,MLB48152766,HP,2025-09-29T15:19:28.141815,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:56:53.573954,spider_scrapy,643530,200,0.0,28.0,produto_com_reviews
MLB22843608,Cartucho Hp 667 667xl Deskjet 2776 Preto,https://www.mercadolivre.com.br/cartucho-hp-667-667xl-deskjet-2776-preto/p/MLB22843608#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB3905774637&sid=search,BRL 106.51,R$ 129,Sem desconto,TC20240813115050,1942736273,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Cartucho do tipo original. | Tinta pigmentada. | Rende 480 páginas.,,Marca: HP; Linha: DeskJet; Modelo: 667XL; Modelo alfanumérico: 3ym81al y 3ym80al; Tipo de cartucho: Original; Cor da tinta: Preto; Modelo detalhado: 3YM81AL; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não,Modelo detalhado: 3YM81AL; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_743854-MLA93080857332_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB22843608,MLB22843608,HP,2025-09-29T15:19:28.141815,True,excelente,83.3,,0,0,0,0,,,,10000,Sim,Sim,30 dias,2025-09-29T14:56:56.021186,spider_scrapy,668708,200,0.0,231.0,produto_com_reviews
MLB2038775193,Kit Cartuchos Hp 667 Preto Color 1275 2376 2775 2776 6475,https://www.mercadolivre.com.br/kit-cartuchos-hp-667-preto-color-1275-2376-2775-2776-6476/p/MLB2038775193#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB1807118313&sid=search,BRL 179.99,R$ 214,Sem desconto,LKF COMERCIO,35660674,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"Acompanha - 1 Cartucho Preto 667 - 1 Cartucho Colorido 667 - Rendimento em Preto 120 paginas - Rendimento em Colorido 100 paginas - Tecnologia de impressão: Jato de Tinta - Capacidade/Rendimento: 2 ml cada Compatíveis com a nova geração de impressoras Deskjet Ink Advantage da HP, que contempla as impressoras: DESKJET INK ADVANTAGE 1275; DESKJET INK ADVANTAGE 2374; DESKJET INK ADVANTAGE 2375; DESKJET INK ADVANTAGE 2376; DESKJET INK ADVANTAGE 2774; DESKJET INK ADVANTAGE 2775; DESKJET INK ADVANTAGE 2776; DESKJET INK ADVANTAGE 2874; HP Deskjet Ink Advantage Plus 6475; HP Deskjet Ink Advantage Plus 6476; HP DeskJet Ink Advantage 2700. Produto novo, 100% Original, lacrado, com nota fiscal, envio rápido.",,Marca: HP; Modelo: 2774 2874 1275 2374 2375 2376 2775 2776 6475 6476; Modelo alfanumérico: 3YM79AL 3YM78AL; Tipo de cartucho: Original; Conteúdo total em volume: 4 mL; Cor da tinta: Preto e Colorido; Tipo de tinta: Pigmentada; Rendimento de páginas: 220; É recarregável: Não; É kit: Sim,Tipo de tinta: Pigmentada; Rendimento de páginas: 220; É recarregável: Não; É kit: Sim,Sim,me2,4-6 dias úteis,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_947637-MLB75931854021_042024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB2038775193,MLB2038775193,HP,2025-09-29T15:19:28.141815,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:56:59.921229,spider_scrapy,927897,200,0.0,15.0,produto_com_reviews
MLB2039528208,Mega Oferta !!! Kit Com 2 Cart. Hp Original 667xl Preto !!!,https://www.mercadolivre.com.br/kit-2-cartucho-tinta-667xl-preto-entrega-gratis-deskjet-2776/p/MLB2039528208#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB5065496774&sid=search,BRL 192.42,R$ 239,Sem desconto,TC20240813115050,1942736273,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"Características do Produto : Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes. Especificações : Cartucho HP 667XL preto Rendimento: Até 480 páginas cada Compatibilidade Serie Deskjet Ink Advantage 2300 - Deskjet Ink Advantage 2374 - Deskjet Ink Advantage 2375 - Deskjet Ink Advantage 2376 Serie Deskjet Ink Advantage 2700 - Deskjet Ink Advantage 2774 - Deskjet Ink Advantage 2775 - Deskjet Ink Advantage 2776 - Deskjet Ink Advantage 2777 - Deskjet Ink Advantage 2874 Serie DeskJet Plus Ink Advantage série 6000 Serie DeskJet Plus Ink Advantage série 6400 Serie Deskjet Ink Advantage 1200 Serie DeskJet Ink Advantage 4100",,"Marca: HP; Modelo: kit hp 667xl; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Preto; É kit: Sim",É kit: Sim,Sim,me2,6-6 dias úteis,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_647492-MLB79301087913_092024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB2039528208,MLB2039528208,HP,2025-09-29T15:19:28.141815,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:57:03.977223,spider_scrapy,915347,200,0.0,23.0,produto_com_reviews
MLB36869988,Cartucho Hp 667xl Colorido (3ym80ab),https://www.mercadolivre.com.br/cartucho-hp-667xl-colorido-3ym80ab/p/MLB36869988#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB5742428714&sid=search,BRL 145.87,R$ 179,Sem desconto,Mercado Livre,480263032,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8.5 mL. | Cor da tinta: Colorido. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Tinta pigmentada. | Rende 300 páginas.,,"Marca: HP; Modelo: 667XL; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Colorido; Modelo detalhado: F6V28AB; Tipo de tinta: Pigmentada; Rendimento de páginas: 300; É recarregável: Não",Modelo detalhado: F6V28AB; Tipo de tinta: Pigmentada; Rendimento de páginas: 300; É recarregável: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_854288-MLA93653988441_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36869988,MLB36869988,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,100,Sim,Sim,30 dias,2025-09-29T14:57:06.428119,spider_scrapy,572700,200,0.0,0.0,produto_com_reviews
MLB36948933,Kit 3 Cartuchos Hp 667xl 2 Pretos + 1 Color 2376 2776 6476,https://www.mercadolivre.com.br/kit-3-cartuchos-hp-667xl-2-pretos-1-color-2376-2776-6476/p/MLB36948933#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB5708704106&sid=search,BRL 295,R$ 359,17.8%,TC20240813115050,1942736273,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8.5 mL. | Cartucho do tipo original. | Tinta pigmentada. | Rende 480 páginas.,,"Marca: HP; Linha: DeskJet; Modelo: 667XL; Modelo alfanumérico: 3ym81al y 3ym80al; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Preto; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não",Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_771659-MLU76399401889_052024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36948933,MLB36948933,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:57:09.375334,spider_scrapy,658108,200,0.0,231.0,produto_com_reviews
MLB2039726094,Kit Cartucho 667xl Preto E Color Original Hp 2376 2776 6476,https://www.mercadolivre.com.br/kit-cartucho-667xl-preto-e-color-original-hp-2376-2776-6476/p/MLB2039726094#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB1774417059&sid=search,BRL 364.05,R$ 407,Sem desconto,Primer Print,180788269,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"KIT COM 2 CARTUCHOS HP 667XL 3YM81AB PRETO e 667XL 3YM80AB COLOR  1275, 2374, 2375, 2376, 2775, 2776, 6475, 6476 Produto original com NF-e Características do Produto: Marca:  HP Modelo: 3YM81AB e 3YM80AB Cor da Tinta: Preto e Color Rendimento por página (cores): 480 Páginas Impressoras e Multifuncionais Compatíveis: Deskjet Ink Advantage 1275, 2374, 2375, 2376, 2775, 2776 Deskjet Ink Advantage Plus 6475, 6476 Dimensões do Produto: Altura da embalagem: 10,29 cm Largura da embalagem: 11,4 cm Comprimento da embalagem: 3,63 cm Pesos: Peso bruto: 0,073 Kg Peso líquido: 0,073 Kg",,"Marca: HP; Linha: DesignJet; Modelo: 667XL; Tipo de cartucho: Original; Conteúdo total em volume: 16,5 mL; Cor da tinta: Preto/Amarelo/Ciano/Magenta; Rendimento de páginas: 480; É recarregável: Não",Rendimento de páginas: 480; É recarregável: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_949263-MLA72431220803_102023-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB2039726094,MLB2039726094,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:57:12.575274,spider_scrapy,610432,200,0.0,30.0,produto_com_reviews
MLBU3178624976,Kit Cartucho Hp 667xl Preto E Colorido 2376 667xl 2776 2774,https://www.mercadolivre.com.br/kit-cartucho-hp-667xl-preto-e-colorido-2376-667xl-2776-2774/up/MLBU3178624976#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB4062027457&sid=search,BRL 205.3,R$ 233,Sem desconto,TC20240813115050,1942736273,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Cor da tinta: Preto/Tricolor | Unidades por kit: 2 | Formato de venda: Kit | Cartucho do tipo original. | É recarregável. | Rende 300 páginas | Tinta pigmentada.,,Marca: HP; Modelo: 667 XL 2376 667XL 2776 2774; Tipo de cartucho: Original; Cor da tinta: Preto/Tricolor; Tipo de tinta: Pigmentada; Rendimento de páginas: 300; É recarregável: Sim,Tipo de tinta: Pigmentada; Rendimento de páginas: 300; É recarregável: Sim,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_707256-MLB84705192079_052025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLBU3178624976,MLBU3178624976,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,500,Sim,Sim,30 dias,2025-09-29T14:57:15.934261,spider_scrapy,629966,200,0.0,0.0,produto_com_reviews
MLB36794457,Kit 2 cartuchos Preto e Colorido HP 662 para Impressoras 1516 2515 2516 3515 3516 2546 3546 4646,https://www.mercadolivre.com.br/kit-2-cartuchos-preto-e-colorido-hp-662-para-impressoras-1516-2515-2516-3515-3516-2546-3546-4646/p/MLB36794457#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB4688529512&sid=search,BRL 167.9,N/A,Sem desconto,Park Ecom,1301646661,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto/Tricolor. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rende 100 páginas,,Marca: HP; Linha: Advantage; Modelo: 662; Modelo alfanumérico: CZ104AL; Tipo de cartucho: Original; Conteúdo total em volume: 2 mL; Cor da tinta: Preto/Tricolor; Modelo detalhado: CZ104AL; Tipo de tinta: Colorante Pigmentada; Rendimento de páginas: 100; É recarregável: Não,Modelo detalhado: CZ104AL; Tipo de tinta: Colorante Pigmentada; Rendimento de páginas: 100; É recarregável: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_947455-MLA81830688451_012025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36794457,MLB36794457,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,5000,Sim,Sim,30 dias,2025-09-29T14:57:18.862112,spider_scrapy,672359,200,0.0,93.0,produto_com_reviews
MLBU1454336539,"Cartucho De Tinta Hp 667xl 8,5ml Preto Advantage Original",https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667xl-85ml-preto-advantage-original/up/MLBU1454336539#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB3670221466&sid=search,BRL 195.2,N/A,Sem desconto,vanvan,1377207124,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1 | Conteúdo total em volume: 8.5 mL | Cor da tinta: Preto | Unidades por kit: 1 | Formato de venda: Unidade | Cartucho do tipo original. | Rende 480 páginas,,"Marca: HP; Linha: Advantage; Modelo: 667XL; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Preto; Rendimento de páginas: 480; É recarregável: Não; É kit: Não",Rendimento de páginas: 480; É recarregável: Não; É kit: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_830307-MLB69623506794_052023-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLBU1454336539,MLBU1454336539,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,100,Sim,Sim,30 dias,2025-09-29T14:57:21.431621,spider_scrapy,601167,200,0.0,0.0,produto_com_reviews
MLB37822949,"Cartucho Hp 667xl Preto 8,5ml",https://www.mercadolivre.com.br/cartucho-hp-667xl-preto-85ml/p/MLB37822949#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB4209737947&sid=search,BRL 109,N/A,39.1%,Park Ecom,1301646661,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8.5 mL. | Cor da tinta: Preto. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rende 480 páginas | Tinta pigmentada.,,"Marca: HP; Linha: DesignJet; Modelo: Black 3YM81AL; Modelo alfanumérico: 3ym81al; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Preto; Modelo detalhado: 3YM81AL; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não",Modelo detalhado: 3YM81AL; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_746678-MLA91547274356_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB37822949,MLB37822949,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,1000,Sim,Sim,30 dias,2025-09-29T14:57:24.858627,spider_scrapy,667411,200,0.0,28.0,produto_com_reviews
MLB36786137,Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color,https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color/p/MLB36786137#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB4020553339&sid=search,BRL 304,N/A,Sem desconto,Park Ecom,1301646661,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8.5 mL. | Cartucho do tipo original. | Tinta pigmentada. | Rende 480 páginas.,,"Marca: HP; Linha: DeskJet; Modelo: 667XL; Modelo alfanumérico: 3ym81al y 3ym80al; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Preto e Color; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não",Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_727843-MLA84472828233_052025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36786137,MLB36786137,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,10000,Sim,Sim,30 dias,2025-09-29T14:57:27.658645,spider_scrapy,661955,200,0.0,231.0,produto_com_reviews
MLBU3185554157,Cartucho Tinta Hp 667xl Colorido Original 2776 2774 6476,https://www.mercadolivre.com.br/cartucho-tinta-hp-667xl-colorido-original-2776-2774-6476/up/MLBU3185554157#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB5398732000&sid=search,BRL 102.62,R$ 129,Sem desconto,TC20240813115050,1942736273,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1 | Conteúdo total em volume: 8 mL | Cor da tinta: Colorido | Unidades por kit: 1 | Formato de venda: Unidade | Cartucho do tipo original. | Rende 300 páginas,,Marca: HP; Linha: Advantage; Modelo: 3YM80AL  2300 2700 667 667XL Deskjet Ink Advantage 2376 Deskjet Ink Advantage 2774 Deskjet Ink Advantage 2776 Deskjet Ink Advantage 6476; Modelo alfanumérico: 3YM80AL  2300 2700 667 667XL Deskjet Ink Advantage 2376 Deskjet Ink Advantage 2774 Deskjet Ink Advantage 2776 Deskjet In; Tipo de cartucho: Original; Conteúdo total em volume: 8 mL; Cor da tinta: Colorido; Rendimento de páginas: 300; É recarregável: Não,Rendimento de páginas: 300; É recarregável: Não,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_772227-MLB84724958120_052025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLBU3185554157,MLBU3185554157,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,500,Sim,Sim,30 dias,2025-09-29T14:57:30.816631,spider_scrapy,610231,200,0.0,0.0,produto_com_reviews
MLB47981210,Kit 4 Cartucho Hp 667 667xl Deskjet 2776 Preto,https://www.mercadolivre.com.br/kit-4-cartucho-hp-667-667xl-deskjet-2776-preto/p/MLB47981210#polycard_client=search-nordic&search_layout=grid&position=16&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB5527780232&sid=search,BRL 385,N/A,Sem desconto,DL20250527161415,2460439869,5_green,silver,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 8.5 mL. | Cor da tinta: Preto. | Unidades por kit: 4. | Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 480 páginas.,,"Marca: HP; Modelo: 667 XL 2376 667XL 2776 2774; Modelo alfanumérico: 3YM81AB; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Preto; Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Sim",Tipo de tinta: Pigmentada; Rendimento de páginas: 480; É recarregável: Sim,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_964493-MLA91972295019_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB47981210,MLB47981210,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,100,Sim,Sim,30 dias,2025-09-29T14:57:34.027008,spider_scrapy,595718,200,0.0,5.0,produto_com_reviews
MLB47976494,Cartucho Hp 667xl Preto E Color. 03 Preto E 02 Colorido,https://www.mercadolivre.com.br/cartucho-hp-667xl-preto-e-color-03-preto-e-02-colorido/p/MLB47976494#polycard_client=search-nordic&search_layout=grid&position=17&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB5350101310&sid=search,BRL 435.9,N/A,Sem desconto,Park Ecom,1301646661,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 380 páginas.,,Marca: HP; Linha: Advantage; Modelo: 667 XL 2376 667XL 2776 2774; Tipo de cartucho: Original; Conteúdo total em volume: 7 mL; Cor da tinta: Preto e Colorido; Tipo de tinta: Pigmentada; Rendimento de páginas: 380; É recarregável: Sim,Tipo de tinta: Pigmentada; Rendimento de páginas: 380; É recarregável: Sim,Sim,me2,Consultar no site,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_822840-MLA91572851214_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB47976494,MLB47976494,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,100,Sim,Sim,30 dias,2025-09-29T14:57:37.555253,spider_scrapy,642568,200,0.0,142.0,produto_com_reviews
MLB2038779645,Kit 2 Cartuchos Original Hp 667xl Preto 1275 2376 2775 2776,https://www.mercadolivre.com.br/kit-2-cartuchos-original-hp-667-xl-preto-1275-2376-2775-2776/p/MLB2038779645#polycard_client=search-nordic&search_layout=grid&position=18&type=product&tracking_id=25f1fc4e-ce6b-44a1-a787-d69b26ab0df5&wid=MLB2812227055&sid=search,BRL 387.99,R$ 409,Sem desconto,LKF COMERCIO,35660674,5_green,platinum,0.0,0,0,0,0,0,0,False,0,0,0,0,0,N/A,Novo,"Kit com 2 Cartuchos Originais Hp 667 Xl Preto 1275 2376 2775 2776 6475 Acompanha: - 2 Cartuchos Pretos HP 667 XL - Rendimento em Preto 120 paginas - Tecnologia de impressão: Jato de Tinta - Capacidade/Rendimento: 8,5 ml cada - Rendimento: 480 Páginas Compatíveis com a nova geração de impressoras Deskjet Ink Advantage da HP, que contempla as impressoras: DESKJET INK ADVANTAGE 2376; DESKJET INK ADVANTAGE 2776; DESKJET INK ADVANTAGE 2775; DESKJET INK ADVANTAGE 2375; DESKJET INK ADVANTAGE 2374; DESKJET INK ADVANTAGE 1275; HP Deskjet Ink Advantage Plus 6475; HP Deskjet Ink Advantage Plus 6476. Produto novo, 100% Original, lacrado, com nota fiscal, envio rápido.",,"Marca: HP; Linha: Advantage; Modelo: Impressoras 2774 2874 2374 2375 6475 6476 - 3YM81AL; Modelo alfanumérico: 667XL; Tipo de cartucho: Original; Conteúdo total em volume: 8,5 mL; Cor da tinta: Preto; Tipo de tinta: Corante; Rendimento de páginas: 480; É recarregável: Não",Tipo de tinta: Corante; Rendimento de páginas: 480; É recarregável: Não,Sim,me2,2-2 dias úteis,N/A (imagens desabilitadas),"https://http2.mlstatic.com/D_NQ_NP_999975-MLB75935985011_042024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB2038779645,MLB2038779645,HP,2025-09-29T15:19:28.142815,True,excelente,83.3,,0,0,0,0,,,,50,Sim,Sim,30 dias,2025-09-29T14:57:40.474136,spider_scrapy,885829,200,0.0,0.0,produto_com_reviews
